locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNONLJBP_02618	CDS	393		3.1.-.-	COG3744	Ribonuclease VapC22
MNONLJBP_02619	CDS	270				hypothetical protein
MNONLJBP_02620	CDS	765				hypothetical protein
MNONLJBP_02621	CDS	975	ccsA			Cytochrome c biogenesis protein CcsA
MNONLJBP_02622	CDS	1212				hypothetical protein
MNONLJBP_02623	CDS	162				hypothetical protein
MNONLJBP_02624	CDS	318				hypothetical protein
MNONLJBP_02625	CDS	1869				hypothetical protein
MNONLJBP_02626	CDS	1008	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
MNONLJBP_02627	CDS	879	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
MNONLJBP_02628	CDS	795	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
MNONLJBP_02629	CDS	1041	wbiB	5.1.3.25		dTDP-L-rhamnose 4-epimerase
MNONLJBP_02630	CDS	1434				hypothetical protein
MNONLJBP_02631	CDS	1647				hypothetical protein
MNONLJBP_02632	CDS	657		2.4.-.-	COG0463	putative glycosyltransferase
MNONLJBP_02633	CDS	663				hypothetical protein
MNONLJBP_02634	CDS	1350				hypothetical protein
MNONLJBP_02635	CDS	1089	menE_2	6.2.1.26	COG0318	putative 2-succinylbenzoate--CoA ligase
MNONLJBP_02636	CDS	303				hypothetical protein
MNONLJBP_02637	CDS	279				hypothetical protein
MNONLJBP_02638	CDS	1254				hypothetical protein
MNONLJBP_02639	CDS	387				hypothetical protein
MNONLJBP_02640	CDS	885	acr1	1.2.1.-	COG3320	Fatty acyl-CoA reductase
MNONLJBP_02641	CDS	945	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
MNONLJBP_02642	CDS	414	vapC3_2	3.1.-.-	COG4113	Ribonuclease VapC3
MNONLJBP_02643	CDS	219	vapB3		COG5302	Antitoxin VapB3
MNONLJBP_02644	CDS	1617	lcfB_4	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MNONLJBP_02645	CDS	1605	nfdA	3.5.1.91		N-substituted formamide deformylase
MNONLJBP_02646	CDS	981	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
MNONLJBP_02647	CDS	789	bpoC_2	1.11.1.18	COG0596	Putative non-heme bromoperoxidase BpoC
MNONLJBP_02648	CDS	1665	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
MNONLJBP_02649	CDS	516				hypothetical protein
MNONLJBP_02650	CDS	1227	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
MNONLJBP_02651	CDS	705	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
MNONLJBP_02652	CDS	339				putative protein
MNONLJBP_02653	CDS	726				putative protein
MNONLJBP_02654	CDS	1227	menJ	1.3.99.38	COG0644	Menaquinone reductase
MNONLJBP_02655	CDS	990	hepT_2	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
MNONLJBP_02656	CDS	861	htpX_2	3.4.24.-	COG0501	Protease HtpX 
MNONLJBP_02657	CDS	1056	gpsA2	1.1.1.94	COG0240	putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+]
MNONLJBP_02658	CDS	1461	ethA_2	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
MNONLJBP_02659	CDS	492				hypothetical protein
MNONLJBP_02660	tRNA	84				tRNA-Tyr(gta)
MNONLJBP_02661	CDS	1023	oxyT	2.1.1.335		N,N-dimethyltransferase OxyT
MNONLJBP_02662	CDS	1401		1.14.-.-	COG2124	Putative cytochrome P450 135B1
MNONLJBP_02663	CDS	267				putative protein
MNONLJBP_02664	CDS	2031	nrdZ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleoside-diphosphate reductase
MNONLJBP_02665	CDS	1332			COG1926	Putative phosphoribosyl transferase
MNONLJBP_02666	CDS	123				hypothetical protein
MNONLJBP_02667	CDS	342				putative protein
MNONLJBP_02668	CDS	1392	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
MNONLJBP_02669	CDS	1143			COG2843	putative polyglutamine synthesis accessory protein
MNONLJBP_02670	CDS	1167			COG0654	putative protein
MNONLJBP_02671	CDS	1305				hypothetical protein
MNONLJBP_02672	CDS	786			COG3324	Putative glyoxylase CFP32
MNONLJBP_02673	CDS	1368				hypothetical protein
MNONLJBP_02674	CDS	552				hypothetical protein
MNONLJBP_02675	CDS	8481				hypothetical protein
MNONLJBP_02676	CDS	645				hypothetical protein
MNONLJBP_02677	CDS	1299	purA_1	6.3.4.4	COG0104	Adenylosuccinate synthetase
MNONLJBP_02678	CDS	648				hypothetical protein
MNONLJBP_02679	CDS	780	rip2		COG1994	Putative zinc metalloprotease Rip2
MNONLJBP_02680	CDS	438				hypothetical protein
MNONLJBP_02681	CDS	828				hypothetical protein
MNONLJBP_02682	CDS	1383			COG2239	Magnesium transporter MgtE
MNONLJBP_02683	CDS	1035	fba_1	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
MNONLJBP_02684	CDS	684			COG0586	putative membrane protein
MNONLJBP_02685	CDS	1131				hypothetical protein
MNONLJBP_02686	CDS	594				hypothetical protein
MNONLJBP_02687	CDS	390				hypothetical protein
MNONLJBP_02688	CDS	1221				hypothetical protein
MNONLJBP_02689	CDS	603				hypothetical protein
MNONLJBP_02690	CDS	897				hypothetical protein
MNONLJBP_02691	CDS	594	pucB		COG2068	Purine catabolism protein PucB
MNONLJBP_02692	CDS	756				hypothetical protein
MNONLJBP_02693	CDS	2400	cutL	1.2.5.3		Carbon monoxide dehydrogenase large chain
MNONLJBP_02694	CDS	480	coxS	1.2.5.3		Carbon monoxide dehydrogenase small chain
MNONLJBP_02695	CDS	903	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
MNONLJBP_02696	CDS	1158	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
MNONLJBP_02697	CDS	966			COG0583	putative HTH-type transcriptional regulator
MNONLJBP_02698	CDS	225				hypothetical protein
MNONLJBP_02699	CDS	216	secE2		COG3360	Calcium dodecin
MNONLJBP_02700	CDS	651	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
MNONLJBP_02701	CDS	909				hypothetical protein
MNONLJBP_02702	CDS	540	pyrE_2	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
MNONLJBP_02703	CDS	855				hypothetical protein
MNONLJBP_02704	CDS	2547	clpB		COG0542	Chaperone protein ClpB
MNONLJBP_02705	CDS	1278	hmp_3	1.14.12.17		Flavohemoprotein
MNONLJBP_02706	CDS	3258			COG2771	Putative HTH-type transcriptional regulator
MNONLJBP_02707	CDS	1332				putative PPE family protein PPE32
MNONLJBP_02708	CDS	1260	purT_1	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
MNONLJBP_02709	CDS	423				hypothetical protein
MNONLJBP_02710	CDS	1221	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
MNONLJBP_02711	CDS	1413	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
MNONLJBP_02712	CDS	192				hypothetical protein
MNONLJBP_02713	CDS	987				hypothetical protein
MNONLJBP_02714	CDS	720				hypothetical protein
MNONLJBP_02715	CDS	405				hypothetical protein
MNONLJBP_02716	CDS	417				hypothetical protein
MNONLJBP_02717	CDS	630			COG2256	putative AAA domain-containing protein
MNONLJBP_02718	CDS	624				putative protein
MNONLJBP_02719	CDS	675				putative protein
MNONLJBP_02720	CDS	402				hypothetical protein
MNONLJBP_02721	CDS	2715	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
MNONLJBP_02722	CDS	429		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
MNONLJBP_02723	CDS	1254	mltG_1	4.2.2.-		Endolytic murein transglycosylase
MNONLJBP_02724	CDS	810	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
MNONLJBP_02725	CDS	420				hypothetical protein
MNONLJBP_02726	CDS	246				Antitoxin VapB20
MNONLJBP_02727	CDS	396		3.1.-.-	COG2402	23S rRNA-specific endonuclease VapC20
MNONLJBP_02728	CDS	375				hypothetical protein
MNONLJBP_02729	CDS	378		3.1.-.-		Ribonuclease VapC19
MNONLJBP_02730	CDS	273				Putative antitoxin VapB19
MNONLJBP_02731	CDS	414		3.1.-.-	COG1487	Ribonuclease VapC51
MNONLJBP_02732	CDS	279				hypothetical protein
MNONLJBP_02733	CDS	561	lppA_1			Putative lipoprotein LppA
MNONLJBP_02734	CDS	558	lppA_2			Putative lipoprotein LppA
MNONLJBP_02735	CDS	558	lppA_3			Putative lipoprotein LppA
MNONLJBP_02736	CDS	1212				hypothetical protein
MNONLJBP_02737	CDS	315				hypothetical protein
MNONLJBP_02738	CDS	1239	aroC	4.2.3.5	COG0082	Chorismate synthase
MNONLJBP_02739	CDS	531	aroK	2.7.1.71	COG0703	Shikimate kinase
MNONLJBP_02740	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
MNONLJBP_02741	CDS	444	aroQ_1	4.2.1.10	COG0757	3-dehydroquinate dehydratase
MNONLJBP_02742	CDS	693				hypothetical protein
MNONLJBP_02743	CDS	1056	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
MNONLJBP_02744	CDS	564	efp_1		COG0231	Elongation factor P
MNONLJBP_02745	CDS	471	nusB_1		COG0781	Transcription antitermination protein NusB
MNONLJBP_02746	CDS	402				hypothetical protein
MNONLJBP_02747	CDS	2844				hypothetical protein
MNONLJBP_02748	CDS	420		3.1.-.-		Ribonuclease VapC39
MNONLJBP_02749	CDS	951				hypothetical protein
MNONLJBP_02750	CDS	921	mrr		COG1715	Mrr restriction system protein
MNONLJBP_02751	CDS	402		3.1.-.-		Ribonuclease VapC17
MNONLJBP_02752	CDS	228				Putative antitoxin VapB17
MNONLJBP_02753	CDS	723		3.2.1.17		Putative peptidoglycan hydrolase
MNONLJBP_02754	CDS	9210				hypothetical protein
MNONLJBP_02755	CDS	393	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
MNONLJBP_02756	CDS	1413	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
MNONLJBP_02757	CDS	474	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin
MNONLJBP_02758	CDS	228				hypothetical protein
MNONLJBP_02759	CDS	1479				hypothetical protein
MNONLJBP_02760	tRNA	74				tRNA-Lys(ctt)
MNONLJBP_02761	CDS	1227	ldtB	2.3.2.-	COG1376	L,D-transpeptidase 2
MNONLJBP_02762	CDS	252				hypothetical protein
MNONLJBP_02763	CDS	804				hypothetical protein
MNONLJBP_02764	CDS	1230				hypothetical protein
MNONLJBP_02765	CDS	462				hypothetical protein
MNONLJBP_02766	CDS	423				hypothetical protein
MNONLJBP_02767	CDS	186				hypothetical protein
MNONLJBP_02768	CDS	438	vapC	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
MNONLJBP_02769	CDS	255				hypothetical protein
MNONLJBP_02770	CDS	2364				hypothetical protein
MNONLJBP_02771	CDS	339	vapC5_1	3.1.-.-	COG1487	Ribonuclease VapC5
MNONLJBP_02772	CDS	231				hypothetical protein
MNONLJBP_02773	CDS	3537	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
MNONLJBP_02774	CDS	3951	rpoC_1	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
MNONLJBP_02775	CDS	114	amiD_1	3.5.1.4	COG0154	Putative amidase AmiD
MNONLJBP_02776	CDS	1914		3.5.1.23		Neutral ceramidase
MNONLJBP_02777	CDS	759	end	3.1.21.2	COG0648	putative endonuclease 4
MNONLJBP_02778	CDS	843				hypothetical protein
MNONLJBP_02779	CDS	1629	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
MNONLJBP_02780	CDS	939				Putative enoyl-CoA hydratase EchA13
MNONLJBP_02781	CDS	723				hypothetical protein
MNONLJBP_02782	CDS	792	caiD_4	4.2.1.149		Carnitinyl-CoA dehydratase
MNONLJBP_02783	CDS	2895	mmpL5_1		COG2409	Siderophore exporter MmpL5
MNONLJBP_02784	CDS	429	mmpS5			Siderophore export accessory protein MmpS5
MNONLJBP_02785	CDS	498	mmpR5			HTH-type transcriptional regulator MmpR5
MNONLJBP_02786	CDS	498				hypothetical protein
MNONLJBP_02787	CDS	375				hypothetical protein
MNONLJBP_02788	CDS	657				hypothetical protein
MNONLJBP_02789	CDS	375	rpsL		COG0048	30S ribosomal protein S12
MNONLJBP_02790	CDS	471	rpsG_1		COG0049	30S ribosomal protein S7
MNONLJBP_02791	CDS	2106	fusA		COG0480	Elongation factor G
MNONLJBP_02792	CDS	1191	tuf		COG0050	Elongation factor Tu
MNONLJBP_02793	CDS	798				hypothetical protein
MNONLJBP_02794	CDS	828		1.-.-.-	COG1028	putative NAD-dependent oxidoreductase
MNONLJBP_02795	CDS	1221	fdr	1.18.1.2		Ferredoxin--NAD(P)(+) reductase fdr
MNONLJBP_02796	CDS	255				hypothetical protein
MNONLJBP_02797	CDS	1050				hypothetical protein
MNONLJBP_02798	CDS	597	mftR			Putative mycofactocin biosynthesis transcriptional regulator MftR
MNONLJBP_02799	CDS	90				hypothetical protein
MNONLJBP_02800	CDS	330				hypothetical protein
MNONLJBP_02801	CDS	1176	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
MNONLJBP_02802	CDS	1191	mftD	1.-.-.-	COG1304	Putative mycofactocin system heme/flavin oxidoreductase MftD
MNONLJBP_02803	CDS	756	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
MNONLJBP_02804	CDS	1413	mftF	2.-.-.-	COG0463	Putative mycofactocin biosynthesis glycosyltransferase MftF
MNONLJBP_02805	CDS	1359	betA	1.1.99.1		Oxygen-dependent choline dehydrogenase
MNONLJBP_02806	CDS	756				hypothetical protein
MNONLJBP_02807	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
MNONLJBP_02808	CDS	654	rplC		COG0087	50S ribosomal protein L3
MNONLJBP_02809	CDS	672	rplD		COG0088	50S ribosomal protein L4
MNONLJBP_02810	CDS	303	rplW_1		COG0089	50S ribosomal protein L23
MNONLJBP_02811	CDS	1500	lpdA_2	1.8.1.4		Dihydrolipoyl dehydrogenase
MNONLJBP_02812	CDS	306		1.-.-.-	COG1359	Putative monooxygenase
MNONLJBP_02813	CDS	810	nagR		COG2188	HTH-type transcriptional repressor NagR
MNONLJBP_02814	CDS	1044			COG2141	putative protein
MNONLJBP_02815	CDS	729				hypothetical protein
MNONLJBP_02816	CDS	474				hypothetical protein
MNONLJBP_02817	CDS	675	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
MNONLJBP_02818	CDS	240	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
MNONLJBP_02819	CDS	687				hypothetical protein
MNONLJBP_02820	CDS	639				hypothetical protein
MNONLJBP_02821	CDS	1701		1.3.99.-	COG3573	KsdD-like steroid dehydrogenase
MNONLJBP_02822	CDS	687				hypothetical protein
MNONLJBP_02823	CDS	1623	mdtD_2			Putative multidrug resistance protein MdtD
MNONLJBP_02824	CDS	141				hypothetical protein
MNONLJBP_02825	CDS	162				hypothetical protein
MNONLJBP_02826	CDS	2160	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
MNONLJBP_02827	CDS	894	purC_1	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
MNONLJBP_02828	CDS	621				hypothetical protein
MNONLJBP_02829	CDS	1245		1.14.-.-	COG2124	Putative cytochrome P450 126
MNONLJBP_02830	CDS	1419	purB_1	4.3.2.2	COG0015	Adenylosuccinate lyase
MNONLJBP_02831	CDS	780				hypothetical protein
MNONLJBP_02832	CDS	624				hypothetical protein
MNONLJBP_02833	CDS	909				hypothetical protein
MNONLJBP_02834	CDS	1584	ywrD	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
MNONLJBP_02835	CDS	1269	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
MNONLJBP_02836	CDS	432				hypothetical protein
MNONLJBP_02837	CDS	888		1.1.-.-	COG2084	putative oxidoreductase
MNONLJBP_02838	CDS	747		1.-.-.-		putative oxidoreductase
MNONLJBP_02839	CDS	1470		1.2.1.3		Putative aldehyde dehydrogenase
MNONLJBP_02840	CDS	642				putative HTH-type transcriptional regulator
MNONLJBP_02841	CDS	1209		1.14.-.-	COG2124	Putative cytochrome P450 123
MNONLJBP_02842	CDS	828	dhbA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
MNONLJBP_02843	CDS	1356		1.14.14.154	COG2124	Lanosterol 14-alpha demethylase
MNONLJBP_02844	CDS	207				hypothetical protein
MNONLJBP_02845	CDS	546				hypothetical protein
MNONLJBP_02846	CDS	1128	adhB_3	1.1.1.1	COG1062	Alcohol dehydrogenase B
MNONLJBP_02847	CDS	420				hypothetical protein
MNONLJBP_02848	CDS	402			COG0537	putative HIT-like protein
MNONLJBP_02849	CDS	1458	tcrY_3	2.7.13.3		putative sensor histidine kinase TcrY
MNONLJBP_02850	CDS	744	tcrX_3		COG0745	putative transcriptional regulatory protein TcrX
MNONLJBP_02851	CDS	726				hypothetical protein
MNONLJBP_02852	tRNA	73				tRNA-Thr(tgt)
MNONLJBP_02853	CDS	171				hypothetical protein
MNONLJBP_02854	CDS	1938				putative PPE family protein PPE40
MNONLJBP_02855	CDS	1755		5.4.2.12	COG0406	PE-PGRS family protein PE_PGRS11
MNONLJBP_02856	CDS	1533	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
MNONLJBP_02857	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MNONLJBP_02858	CDS	885	mmsB_1	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
MNONLJBP_02859	CDS	300				hypothetical protein
MNONLJBP_02860	CDS	549				hypothetical protein
MNONLJBP_02861	CDS	990	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
MNONLJBP_02862	CDS	1698	cysG_2	4.99.1.4		Siroheme synthase
MNONLJBP_02863	CDS	930	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
MNONLJBP_02864	CDS	1407	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MNONLJBP_02865	CDS	279			COG0526	putative protein
MNONLJBP_02866	CDS	2907	mmpL2_2		COG2409	putative transport protein MmpL2
MNONLJBP_02867	CDS	438	mmpS2			putative transport accessory protein MmpS2
MNONLJBP_02868	CDS	924	serB1	3.1.3.3	COG0560	Phosphoserine phosphatase SerB1
MNONLJBP_02869	CDS	501				hypothetical protein
MNONLJBP_02870	CDS	909	cmaA2	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase 2
MNONLJBP_02871	CDS	1077			COG0204	putative protein
MNONLJBP_02872	CDS	1131			COG0451	putative protein
MNONLJBP_02873	CDS	102				hypothetical protein
MNONLJBP_02874	CDS	237				Putative DNA-binding proteinA
MNONLJBP_02875	CDS	888	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
MNONLJBP_02876	CDS	876				putative protein
MNONLJBP_02877	CDS	843			COG1082	putative protein
MNONLJBP_02878	CDS	933				putative protein
MNONLJBP_02879	CDS	1035	ppx1	3.6.1.11	COG0248	Exopolyphosphatase 1
MNONLJBP_02880	CDS	771				putative protein
MNONLJBP_02881	CDS	717			COG2186	putative HTH-type transcriptional regulator
MNONLJBP_02882	CDS	951				putative protein
MNONLJBP_02883	CDS	330				hypothetical protein
MNONLJBP_02884	CDS	1890		1.1.-.-	COG2303	putative GMC-type oxidoreductase
MNONLJBP_02885	CDS	684	regX3_1		COG0745	Sensory transduction protein regX3
MNONLJBP_02886	CDS	1233	senX3_1	2.7.13.3		Sensor-like histidine kinase senX3
MNONLJBP_02887	CDS	771	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
MNONLJBP_02888	CDS	639	argO_2		COG1279	Arginine exporter protein ArgO
MNONLJBP_02889	CDS	552				putative protein
MNONLJBP_02890	CDS	1434	mshA_3	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
MNONLJBP_02891	CDS	1317			COG1940	Transcriptional regulator
MNONLJBP_02892	CDS	756		1.-.-.-	COG4221	putative oxidoreductase
MNONLJBP_02893	CDS	1356	lprQ	2.3.2.-	COG1376	L,D-transpeptidase 5
MNONLJBP_02894	CDS	1110	murB_1	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
MNONLJBP_02895	CDS	507				putative protein
MNONLJBP_02896	CDS	903		3.5.-.-	COG0388	Hydrolase
MNONLJBP_02897	CDS	750				putative protein
MNONLJBP_02898	CDS	675	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
MNONLJBP_02899	CDS	447				putative protein
MNONLJBP_02900	CDS	264				hypothetical protein
MNONLJBP_02901	CDS	600	hbhA			Heparin-binding hemagglutinin
MNONLJBP_02902	CDS	423			COG1396	putative HTH-type transcriptional regulator
MNONLJBP_02903	CDS	1371				hypothetical protein
MNONLJBP_02904	CDS	771				putative HTH-type transcriptional regulator
MNONLJBP_02905	CDS	489				hypothetical protein
MNONLJBP_02906	CDS	285				hypothetical protein
MNONLJBP_02907	CDS	864	pcaA	2.1.1.79	COG2230	Cyclopropane mycolic acid synthase 3
MNONLJBP_02908	CDS	123				hypothetical protein
MNONLJBP_02909	CDS	1023			COG2141	putative protein
MNONLJBP_02910	CDS	237				hypothetical protein
MNONLJBP_02911	CDS	606				hypothetical protein
MNONLJBP_02912	CDS	3375				hypothetical protein
MNONLJBP_02913	CDS	141				hypothetical protein
MNONLJBP_02914	CDS	867			COG2199	putative signaling protein
MNONLJBP_02915	CDS	756				hypothetical protein
MNONLJBP_02916	CDS	2148				hypothetical protein
MNONLJBP_02917	CDS	1872				hypothetical protein
MNONLJBP_02918	CDS	786				HTH-type transcriptional repressor
MNONLJBP_02919	CDS	372				putative protein
MNONLJBP_02920	CDS	273				hypothetical protein
MNONLJBP_02921	CDS	744	fabG2_2	1.-.-.-		putative oxidoreductase
MNONLJBP_02922	CDS	1740	irtB	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtB
MNONLJBP_02923	CDS	2580	irtA	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
MNONLJBP_02924	tRNA	85				tRNA-Leu(tag)
MNONLJBP_02925	CDS	633	mbtK	2.3.1.-	COG1670	Lysine N-acyltransferase MbtK
MNONLJBP_02926	CDS	1161	mbtN	1.3.99.-		Acyl-[acyl-carrier-protein] dehydrogenase MbtN
MNONLJBP_02927	CDS	1566	mbtM	6.2.1.20	COG0318	Long-chain-fatty-acid--[acyl-carrier-protein] ligase MbtM
MNONLJBP_02928	CDS	255	mbtL		COG0236	Acyl carrier protein MbtL
MNONLJBP_02929	CDS	381				hypothetical protein
MNONLJBP_02930	CDS	363				putative protein
MNONLJBP_02931	CDS	606		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
MNONLJBP_02932	CDS	780	rph_1	2.7.7.56	COG0689	Ribonuclease PH
MNONLJBP_02933	CDS	759			COG1234	putative protein
MNONLJBP_02934	CDS	816	murI	5.1.1.3	COG0796	Glutamate racemase
MNONLJBP_02935	CDS	684				hypothetical protein
MNONLJBP_02936	CDS	972	cysM	2.5.1.113	COG0031	O-phosphoserine sulfhydrylase
MNONLJBP_02937	CDS	282	cysO		COG1977	Sulfur carrier protein CysO
MNONLJBP_02938	CDS	414	mec	3.13.1.6	COG1310	CysO-cysteine peptidase
MNONLJBP_02939	CDS	1035		3.4.11.-	COG3191	putative aminopeptidase
MNONLJBP_02940	CDS	591				putative protein
MNONLJBP_02941	CDS	306	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
MNONLJBP_02942	CDS	1347	pncB1_1	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB1
MNONLJBP_02943	CDS	1977	dinG	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
MNONLJBP_02944	CDS	2592	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
MNONLJBP_02945	CDS	2067	glgE	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
MNONLJBP_02946	CDS	2196	glgB_1	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
MNONLJBP_02947	CDS	1812				putative PE-PGRS family protein PE_PGRS24
MNONLJBP_02948	CDS	615				hypothetical protein
MNONLJBP_02949	CDS	1038				hypothetical protein
MNONLJBP_02950	CDS	285				putative PE-PGRS family protein PE_PGRS24
MNONLJBP_02951	CDS	2316				hypothetical protein
MNONLJBP_02952	CDS	204	cspA		COG1278	putative cold shock protein A
MNONLJBP_02953	CDS	579				hypothetical protein
MNONLJBP_02954	CDS	2988	topA	5.6.2.1	COG0550	DNA topoisomerase 1
MNONLJBP_02955	CDS	1650				hypothetical protein
MNONLJBP_02956	CDS	1209				hypothetical protein
MNONLJBP_02957	tRNA	76				tRNA-Thr(cgt)
MNONLJBP_02958	CDS	192				hypothetical protein
MNONLJBP_02959	CDS	135				hypothetical protein
MNONLJBP_02960	CDS	195				hypothetical protein
MNONLJBP_02961	CDS	636	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
MNONLJBP_02962	CDS	1230				IS256 family transposase IS1553
MNONLJBP_02963	CDS	567				hypothetical protein
MNONLJBP_02964	CDS	747				IS21 family transposase ISAau2
MNONLJBP_02965	CDS	501				hypothetical protein
MNONLJBP_02966	CDS	348				hypothetical protein
MNONLJBP_02967	CDS	1761				hypothetical protein
MNONLJBP_02968	CDS	969	galE1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
MNONLJBP_02969	CDS	876			COG5285	putative protein
MNONLJBP_02970	CDS	345				hypothetical protein
MNONLJBP_02971	CDS	726	ppm1_1	2.4.1.-		Polyprenol monophosphomannose synthase
MNONLJBP_02972	CDS	1275				putative protein
MNONLJBP_02973	CDS	1098				hypothetical protein
MNONLJBP_02974	CDS	489	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
MNONLJBP_02975	CDS	1386		3.4.16.-	COG2027	Carboxypeptidase
MNONLJBP_02976	CDS	1074				hypothetical protein
MNONLJBP_02977	CDS	972	tilS_1	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
MNONLJBP_02978	CDS	609	hpt	2.4.2.8	COG0634	Hypoxanthine-guanine phosphoribosyltransferase
MNONLJBP_02979	CDS	837				hypothetical protein
MNONLJBP_02980	CDS	300				PE family protein PE13
MNONLJBP_02981	CDS	1242				hypothetical protein
MNONLJBP_02982	CDS	297	esxW			ESAT-6-like protein EsxW
MNONLJBP_02983	CDS	285	esxL			ESAT-6-like protein EsxL
MNONLJBP_02984	CDS	1188	limB	1.14.13.107		Limonene 1,2-monooxygenase
MNONLJBP_02985	CDS	969	ephA_2	3.3.2.10		Epoxide hydrolase A
MNONLJBP_02986	CDS	1179	espA			ESX-1 secretion-associated protein EspA
MNONLJBP_02987	CDS	312	espC			ESX-1 secretion-associated protein EspC
MNONLJBP_02988	CDS	573	espD			ESX-1 secretion-associated protein EspD
MNONLJBP_02989	CDS	1434	amt_1			Ammonia channel
MNONLJBP_02990	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
MNONLJBP_02991	CDS	2427	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
